declaration,items,difficulty
AxQM.qftInverseEvolution_evolvePure_quditBasis,Exercise5_5,small
AxQM.qubitBasis_one_hasEigenstate_pauliZ,Exercise4_1,small
AxQM.qubitKet0_hasEigenstate_pauliZ,Exercise4_1,small
AxQM.qubitMinusI_hasEigenstate_pauliY,Exercise4_1,small
AxQM.qubitMinus_hasEigenstate_pauliX,Exercise4_1,small
AxQM.qubitPlusI_hasEigenstate_pauliY,Exercise4_1,small
AxQM.qubitPlus_hasEigenstate_pauliX,Exercise4_1,small
AxQM.reflectionEvolution_eq_conj_of_prep,Problem6_2,small
AxQM.rotAxisGate_evolve_blochState,Exercise4_6,small
AxQM.rotXGate_onRight_comm_cnotGate,Exercise4_31,small
AxQM.rzThreeFifthsCircuit_failure_eq_pauliZ,Exercise4_41,small
AxQM.sGate_op_eq_expPiDivFour_smul_rotZGate,Exercise4_8,small
AxQM.shorLogicalXBar_op_comm_shorZ12,Exercise10_48,small
AxQM.shorLogicalXBar_op_comm_shorZ23,Exercise10_48,small
AxQM.shorLogicalXBar_op_comm_shorZ45,Exercise10_48,small
AxQM.shorLogicalXBar_op_comm_shorZ56,Exercise10_48,small
AxQM.shorLogicalXBar_op_comm_shorZ78,Exercise10_48,small
AxQM.shorLogicalXBar_op_comm_shorZ89,Exercise10_48,small
AxQM.shorLogicalZBar_op_comm_shorPhaseSyndromeX123456,Exercise10_48,small
AxQM.shorLogicalZBar_op_comm_shorPhaseSyndromeX456789,Exercise10_48,small
AxQM.stdDev_pauliX_qubitBasis_zero,Exercise2_59,small
AxQM.steaneLogicalXBar_evolvePure_logicalOne,Exercise10_52,small
AxQM.steaneLogicalXBar_evolvePure_logicalZero,Exercise10_52,small
AxQM.swapThenToffoli_evolvePure_ancillaZero,Exercise10_68_FTToffoli,small
AxQM.tGate_evolve_eq_rotZGate_evolve,Exercise4_3,small
AxQM.transversalCoupling_comm_transversalAncillaPhaseError,Exercise10_70,small
AxQM.transversalCoupling_zsxGate_comm_ancillaPhaseError,Exercise10_71,small
AxQM.transversalTGate_op_catVec_seven,Exercise10_71,small
AxQM.zeroTensorBell_not_hasTriorthogonalDecomposition,Exercise2_77,small
CStarMatrix.exists_expUnitary_eq_of_mem_unitary,Exercise2_56,small
CStarMatrix.expUnitary_argSelfAdjoint,Exercise2_56,small
ContinuousLinearMap.absoluteValue_eq_of_unitary_comp,Theorem2_3,small
ContinuousLinearMap.adjoint_absoluteValue_eq_of_comp_unitary,Theorem2_3,small
ContinuousLinearMap.exists_krausSumₗ_eq_entanglementFidelity_eq_normSq_trace,Problem9_2,small
ContinuousLinearMap.exists_unitary_isPositive_polar,Theorem2_3,small
ContinuousLinearMap.krausDiagonalize_card_ne_zero_le_sq,Exercise8_10,small
ContinuousLinearMap.krausGram_krausDiagonalize,Exercise8_10,small
ContinuousLinearMap.krausGram_rank_le_sq,Exercise8_10,small
ContinuousLinearMap.krausSumₗ_krausDiagonalize,Exercise8_10,small
ContinuousLinearMap.sum_adjoint_krausAugment_comp_self,Exercise8_8,small
ContinuousLinearMap.unitary_factor_unique_of_isUnit,Theorem2_3,small
Cryptography.KeyDistribution.card_privateKeys,Exercise12_25,small
DiscreteFourier.directDftOpCount_isTheta,Exercise5_3,small
DiscreteFourier.fftOpCount_isTheta,Exercise5_3,small
DiscreteLogRecovery.discreteLog_of_estimates,Exercise5_24,small
InnerProductSpace.gramSchmidtNormed_span_eq_top,Exercise2_8,small
InnerProductSpace.orthonormalProjector_hasEigenvalue_eq_zero_or_one,Exercise2_23,small
IsStarNormal.exists_eq_diagonalOperator,Exercise2_49,small
IsStarProjection.kronecker,Exercise2_32,small
LinearCode.exists_isUnit_submatrix_eq_one_of_mulVecLin_surjective,Exercise10_16,small
LinearCode.isSelfOrthogonal_range_mulVecLin_iff,Exercise10_24,small
LinearCode.ofParityCheck_updateRow_add,Exercise10_16,small
LinearCode.singleton_bound,Exercise10_21_Singleton,small
LinearCode.sum_neg_one_pow_dotProduct,Exercise10_25,small
LinearMap.IsSymmetric.commute_iff_exists_orthonormalBasis_forall_apply_eq_smul,Theorem2_2,small
LinearMap.adjoint_sum_smul,Exercise2_14,small
LinearMap.isSelfAdjoint_iff_exists_orthonormalBasis_real,Exercise2_21,small
LinearMap.isStarNormal_iff_exists_orthonormalBasis,Theorem2_1,small
LinearMap.toMatrixOrthonormal_change_orthonormalBasis,Exercise2_20,small
Matrix.IsHermitian.eq_polarUnitary_mul_sqrt_conjTranspose_mul_self,Exercise2_48,small
Matrix.IsHermitian.polarUnitary_mem_unitaryGroup,Exercise2_48,small
Matrix.hammingCode_finrank,Exercise10_22,small
Matrix.hermitianOrthonormalBasis_isHermitian,Exercise2_39,small
Matrix.hermitianOrthonormalBasis_orthonormal,Exercise2_39,small
Matrix.isHermitian_iff_forall_spectrum_im_eq_zero,Exercise2_17,small
Matrix.mul_eq_zero_of_range_mulVecLin_eq_ker,Exercise10_18,small
Matrix.range_mulVecLin_addCol,Exercise10_15,small
Matrix.range_mulVecLin_stdGenerator,Exercise10_19,small
Matrix.stdGenerator_mulVecLin_injective,Exercise10_19,small
Module.End.HasEigenvalue.norm_eq_one_of_mem_unitary,Exercise2_18,small
Module.End.stabilizedSubmodule_eq_iInf_eigenspace_one,Exercise10_29,small
MvPolynomial.IsMultilinear.eq_of_forall_eval_boolean,Exercise6_18,small
Nat.Primes.tsum_one_div_sq_le,Exercise5_16,small
Nat.isNontrivialFactor_gcd_sub_one_or_gcd_add_one_of_sq_modEq_one,Theorem5_2,small
NormedSpace.exp_neg_I_mul_smul_sum_of_commute,Exercise4_47,small
NormedSpace.tendsto_pow_exp_smul_mul_exp_smul,Theorem4_3,small
Orthonormal.two_mul_card_sub_two_mul_sqrt_card_le_sum_norm_sub_sq,Exercise6_15,small
OrthonormalBasis.diagonalOperator_eq_norm_comp_phase,Exercise2_49,small
OrthonormalBasis.diagonalOperator_eq_phase_comp_norm,Exercise2_49,small
OrthonormalBasis.diagonalOperator_norm_eq_absoluteValue,Exercise2_49,small
OrthonormalBasis.diagonalOperator_phase_mem_unitary,Exercise2_49,small
ProbabilityTheory.tendsto_meas_abs_sum_range_div_sub_gt,Theorem12_3,small
Real.binEntropyBit_two_inv,Exercise11_3,small
Real.concaveOn_binEntropyBit,Exercise11_4,small
Real.entropy_eq_log_card_iff,Theorem11_2,small
Real.entropy_marginalFst_le,Theorem11_3,small
Real.entropy_sub_entropy_marginalFst_eq_relativeEntropy,Exercise11_7,small
Real.exists_mutualInfo_not_superadditive_counterexample,Exercise11_9,small
Real.isGreatest_range_binEntropyBit,Exercise11_3,small
Real.isMarkovChain_reverseTriple,Exercise11_10,small
Real.mutualInfo_swap,Theorem11_3,small
Real.not_forall_exists_convs_eq_of_abs_sub_le,Theorem5_1,small
Real.not_forall_mutualInfo_superadditive,Exercise11_9,small
Real.relativeEntropy_eq_zero_iff,Theorem11_1,small
Real.spikeEntropyBit_lt,Exercise12_30,small
Real.strictConcaveOn_binEntropyBit,Exercise11_4,small
Real.sum_mul_eq_neg_mul_entropy_of_eq_const_mul_log,Exercise11_2,small
ZMod.dftMatrix_mem_unitaryGroup,Exercise5_1,small
ZMod.not_orderFinding_good_units_printed_bound,Theorem5_3,small
eq_zero_of_lie_eq_zero_of_anticommutator_eq_zero,Exercise2_44,small
isSelfAdjoint_smul_commutator,Exercise2_47,small
mul_eq_invOf_two_mul_lie_add_anticommutator,Exercise2_42,small
mul_eq_invOf_two_smul_lie_add_anticommutator,Exercise2_42,small
normDFT_periodic_eq_zero,Exercise5_20,small
normDFT_periodic_mul,Exercise5_20,small
repetitionCode_finrank,Exercise10_14,small
repetitionParityCheck_ker,Exercise10_17,small
repetitionParityCheck_row_linearIndependent,Exercise10_17,small
two_div_three_mul_sq_le_integral_one_div_sq,Exercise5_16,small
AxQM.Concrete.PauliGroup.exists_commuting_gens_sq_one_ne_negOne_with_negOne_mem,Exercise10_34,moderate
AxQM.Concrete.PauliGroup.exists_gens_sq_one_ne_negOne_with_negOne_mem,Exercise10_34,moderate
AxQM.Concrete.PauliGroup.imOne_notMem_of_negOne_notMem,Exercise10_30,moderate
AxQM.Concrete.PauliGroup.negImOne_notMem_of_negOne_notMem,Exercise10_30,moderate
AxQM.Concrete.PauliGroup.negOne_notMem_closure_iff_forall_sq_eq_one_and_ne_negOne,Exercise10_34,moderate
AxQM.Concrete.PauliGroup.sq_eq_one_and_ne_negOne_of_negOne_notMem_closure,Exercise10_34,moderate
AxQM.Concrete.PauliGroup.sq_eq_one_of_negOne_notMem,Exercise10_35,moderate
AxQM.Concrete.PauliGroup.toMat_isHermitian_of_negOne_notMem,Exercise10_35,moderate
AxQM.Concrete.ampDampChannel_not_unital,Exercise8_29,moderate
AxQM.Concrete.ampDampChannel_toMatrixOrthonormal_of_trace_one,Exercise8_22,moderate
AxQM.Concrete.ampDampCircuit_reduced_eq_ampDampChannel,Exercise8_20,moderate
AxQM.Concrete.chiLambda2_chiGrid2_chiLambda2,Exercise8_34,moderate
AxQM.Concrete.classicalTraceDist_isGreatest,Exercise9_4,moderate
AxQM.Concrete.cnotMatrix_conj_pauliZ2,Exercise10_36,moderate
AxQM.Concrete.counting_query_needs_linear_oracle_calls,Exercise6_14,moderate
AxQM.Concrete.dephasingOperation_eq_operatorSum,Exercise8_4,moderate
AxQM.Concrete.dipoleOverlap_ne_zero_imp_delta_l,Exercise7_16,moderate
AxQM.Concrete.dualRailADChannel_apply_dualRail,Exercise8_23,moderate
AxQM.Concrete.encodedZOp_independentGenerators,Exercise10_53,moderate
AxQM.Concrete.entropy_lt_entropy_fairCoin_of_ne_uniform,Exercise11_1,moderate
AxQM.Concrete.entropy_lt_entropy_fairDie_of_ne_uniform,Exercise11_1,moderate
AxQM.Concrete.exists_abc_decomposition,Corollary4_2,moderate
AxQM.Concrete.exists_circuit_form_cyclotomic,Exercise4_45,moderate
AxQM.Concrete.exists_circuit_form_gaussian,Exercise4_45,moderate
AxQM.Concrete.exists_pauliString_conj_flip,Proposition10_4,moderate
AxQM.Concrete.exists_pow_opNorm_sub_lt,Exercise4_40,moderate
AxQM.Concrete.exists_smul_rotAxis_triple_of_perp,Exercise4_11,moderate
AxQM.Concrete.exists_unitary_two_level_decomposition_length_ge,Exercise4_38,moderate
AxQM.Concrete.exists_xy_decomposition,Exercise4_10,moderate
AxQM.Concrete.exp_matFourThreeLog,Exercise2_34,moderate
AxQM.Concrete.fidelity_not_lower_bound_of_albertiProduct,Problem9_1,moderate
AxQM.Concrete.finrank_tracelessSelfAdjoint_matrix_two_pow,Exercise4_46,moderate
AxQM.Concrete.fockBeamKraus_completeness,Exercise8_21,moderate
AxQM.Concrete.fockBeamKraus_eq_prop_col,Exercise8_21,moderate
AxQM.Concrete.fockDampingKraus_completeness,Exercise8_21,moderate
AxQM.Concrete.kerrTwoPhotonAbsorptionProb,Exercise7_22,moderate
AxQM.Concrete.logicalLabelCircuit_conj_logicalLabelRho,Exercise7_43,moderate
AxQM.Concrete.logicalLabelCircuit_mem_unitaryGroup,Exercise7_43,moderate
AxQM.Concrete.nmrGroverIteration_markedOne,Exercise7_51,moderate
AxQM.Concrete.nmrGroverIteration_markedThree,Exercise7_51,moderate
AxQM.Concrete.nmrGroverIteration_markedTwo,Exercise7_51,moderate
AxQM.Concrete.nmrGroverIteration_markedZero,Exercise7_51,moderate
AxQM.Concrete.normalizer_eq_centralizer_of_negOne_notMem,Exercise10_44,moderate
AxQM.Concrete.not_forall_unit_nonParallel_exists_smul_rotAxis_triple,Exercise4_11,moderate
AxQM.Concrete.orderFindingStateV_eq_orderFindingStateU,Exercise5_14,moderate
AxQM.Concrete.pauliString_commute_iff_symplecticForm,Exercise10_33,moderate
AxQM.Concrete.phaseDampChannel_apply_one,Exercise8_29,moderate
AxQM.Concrete.phaseDampingCircuit_models_phaseDamping,Exercise8_26,moderate
AxQM.Concrete.rotAxis_opNorm_sub,Exercise4_40,moderate
AxQM.Concrete.samplingEstimatorStddev_eq,Exercise6_13,moderate
AxQM.Concrete.spinFlipChannel_eq_kraus,Exercise8_5,moderate
AxQM.Concrete.spontaneousEmissionChannel_eq_ampDampChannel,Exercise8_24,moderate
AxQM.Concrete.sqrtSwapHeisCNOT_eq,Exercise7_52,moderate
AxQM.Concrete.stabilizedSubspace_finrank,Proposition10_5,moderate
AxQM.Concrete.stabilizerDistilledVec_bothHalves,Exercise12_34,moderate
AxQM.Concrete.stabilizerGenerators_independent_iff_checkRow_linearIndependent,Proposition10_3,moderate
AxQM.Concrete.symplecticForm_encXRow_genRow,Exercise10_54,moderate
AxQM.Concrete.temporalLabelCircuit_conjTranspose_conj_temporalLabelRho1,Exercise7_42,moderate
AxQM.Concrete.temporalLabelCircuit_conj_temporalLabelRho1,Exercise7_42,moderate
AxQM.Concrete.toMatrix_swapOperator_hadamard,Exercise2_2,moderate
AxQM.Concrete.toMatrix_swapOperator_std_ne_hadamard,Exercise2_2,moderate
AxQM.Concrete.totalSpin_lie,Exercise7_25,moderate
AxQM.Concrete.unitary_eq_smul_of_conj_twoQubitGenerators,Exercise10_38,moderate
AxQM.Concrete.zRefocusAverage_dipolarCoupling,Exercise7_40,moderate
AxQM.Ensemble.bornProb_refMeasurement_purify,Exercise2_82,moderate
AxQM.Ensemble.postMeasurement_refMeasurement_purify_reducedLeft,Exercise2_82,moderate
AxQM.Ensemble.toState_eq_iff_unitarilyRelated,Theorem2_6,moderate
AxQM.IsChannel.existsUnique_fixedPoint_of_strictlyContractive,Exercise9_10,moderate
AxQM.IsChannel.exists_fixedPoint,Exercise9_9,moderate
AxQM.Observable.exists_real_pauliString_expansion,Problem4_3,moderate
AxQM.Observable.symmTrotterStep_gateError_le,Exercise4_50,moderate
AxQM.Observable.symmTrotterStep_gateError_pow_le,Exercise4_50,moderate
AxQM.PureState.exists_evolution_tmul_id_evolvePure_eq,Exercise2_81,moderate
AxQM.PureState.exists_schmidt_decomposition,Theorem2_7,moderate
AxQM.PureState.exists_schmidt_decomposition_card_le,Exercise2_76,moderate
AxQM.PureState.isProduct_iff_schmidtNumber_eq_one,Exercise2_78,moderate
AxQM.PureState.schmidtNumber_eq_rank_reducedLeft,Problem2_2,moderate
AxQM.PureState.vonNeumannEntropy_reducedLeft_eq_reducedRight,Theorem11_8,moderate
AxQM.State.purity_eq_one_iff_isPure,Exercise2_71,moderate
AxQM.State.typicalSubspaceDim_bounds,Theorem12_5,moderate
AxQM.State.vonNeumannEntropy_concave_of_deriv2_nonpos,Exercise11_22,moderate
AxQM.State.vonNeumannEntropy_eq_log_finrank_iff_eq_maximallyMixed,Theorem11_8,moderate
AxQM.State.vonNeumannEntropy_eq_zero_iff_isPure,Theorem11_8,moderate
AxQM.State.vonNeumannEntropy_mix_orthogonalSupport,Theorem11_8,moderate
AxQM.State.vonNeumannEntropy_tmul,Exercise11_13,moderate
AxQM.additionByFourier_evolvePure_quditBasis,Problem5_6,moderate
AxQM.alternativeSearchHamiltonian_rotates_uniform_to_solution,Exercise6_12,moderate
AxQM.arakiLiebEqualityState_not_isPure,Exercise11_17,moderate
AxQM.bb84_bornProb_matchedBasis,Exercise12_26,moderate
AxQM.bb84_bornProb_mismatchedBasis,Exercise12_26,moderate
AxQM.bb84_bornProb_mismatchedBasis_uncorrelated,Exercise12_26,moderate
AxQM.bellState_reducedLeft,Exercise2_75,moderate
AxQM.bellState_reducedRight,Exercise2_75,moderate
AxQM.bitFlipChannel_eq_measurementModel,Exercise10_2,moderate
AxQM.bitFlipEncode_evolvePure_qubitSuperposition,Exercise10_1,moderate
AxQM.bitFlipError_diagnoses_syndrome,Exercise10_4,moderate
AxQM.bitFlipRecovery_apply_encoded_ne,Exercise10_4,moderate
AxQM.bitFlipRecovery_apply_logicalOne,Exercise10_4,moderate
AxQM.bitFlipRecovery_apply_logicalZero,Exercise10_4,moderate
AxQM.blochState_isPure_iff_norm_one,Exercise2_72,moderate
AxQM.blockPhaseFlip_recovery,Exercise10_6,moderate
AxQM.blockXObservable_hasEigenstate_blockPhaseFlip_catBlockState,Exercise10_70,moderate
AxQM.ccontrolledUnitaryCircuit_eq_ccontrolledUnitary,Exercise4_21,moderate
AxQM.chsh_tmul_sq,Problem2_3,moderate
AxQM.cnotGate_conj_pauliXGate_onLeft,Exercise4_31,moderate
AxQM.cnotGate_conj_pauliXGate_onRight,Exercise4_31,moderate
AxQM.cnotGate_conj_pauliZGate_onLeft,Exercise4_31,moderate
AxQM.cnotGate_conj_pauliZGate_onRight,Exercise4_31,moderate
AxQM.cnotGate_eq_singleQubit_conj_opticalKerrGate,Exercise7_23,moderate
AxQM.cnotGate_evolvePure_qubitMinus_qubitMinus,Exercise4_20,moderate
AxQM.cnotGate_evolvePure_qubitMinus_qubitPlus,Exercise4_20,moderate
AxQM.cnotGate_evolvePure_qubitPlus_qubitMinus,Exercise4_20,moderate
AxQM.cnotGate_evolvePure_qubitPlus_qubitPlus,Exercise4_20,moderate
AxQM.cnotGate_evolve_twoQubitStdMatrix,Exercise4_19,moderate
AxQM.commuting_observables_classicalProbability,Exercise12_33,moderate
AxQM.controlledUnitary_rotXGate,Exercise4_23,moderate
AxQM.controlledUnitary_rotYGate,Exercise4_23,moderate
AxQM.controlledZGate_swap_symm,Exercise4_18,moderate
AxQM.corrects_conjugate,Problem10_1,moderate
AxQM.cssCode_same_correction,Exercise10_27,moderate
AxQM.cssStabilizedSpace_eq_cssCodeSpace,Exercise10_51,moderate
AxQM.cssTwistedCode_same_correction,Exercise10_27,moderate
AxQM.deutschOracleConstOne_bornProb,Exercise7_13,moderate
AxQM.deutschOracleConstZero_bornProb,Exercise7_13,moderate
AxQM.deutschOracleIdentity_eq_kerrGate_conj_hadamard,Exercise7_13,moderate
AxQM.deutschOracleIdentity_isDeutschOracle,Exercise7_13,moderate
AxQM.deutschOracleNegation_eq_kerrGate_conj_hadamard_mirror,Exercise7_13,moderate
AxQM.deutschOracleNegation_isDeutschOracle,Exercise7_13,moderate
AxQM.encodingTeleportation_identity,Problem10_4_EncodingByTeleportation,moderate
AxQM.entangledThree_isSchmidtDecomposition,Exercise2_79,moderate
AxQM.envModelChannel_hasOperatorSum,Exercise8_3,moderate
AxQM.eprMeasureFirstX_postMeasurement_one,Exercise12_37,moderate
AxQM.eprMeasureFirstX_postMeasurement_zero,Exercise12_37,moderate
AxQM.eprMeasureFirstZ_postMeasurement_one,Exercise12_37,moderate
AxQM.eprMeasureFirstZ_postMeasurement_zero,Exercise12_37,moderate
AxQM.exists_polynomial_pauliStringHamiltonian_card_le,Exercise4_48,moderate
AxQM.fiveEncodedZeroPrep_measures,Exercise10_74,moderate
AxQM.fiveEncodedZeroPrep_stabilized_zero,Exercise10_74,moderate
AxQM.fiveQubitCode_saturates_quantumHammingBound,Exercise10_50,moderate
AxQM.fiveSyndromeCircuit_measures,Exercise10_60,moderate
AxQM.fredkinGate_eq_cnot_comp_middleToffoli_comp_cnot,Exercise4_25,moderate
AxQM.fredkinGate_eq_toffoli_comp_middleToffoli_comp_toffoli,Exercise4_25,moderate
AxQM.genDepolarizingChannel_op_eq_krausSum,Exercise8_19,moderate
AxQM.generalMeasurementEnvOp_eq_sum_krausOp,Exercise8_7,moderate
AxQM.grover_multipleSolutions_bornProb_solution_ge_half,Exercise6_4,moderate
AxQM.hadamardGate_evolve_eq_hadamardABCGate_evolve,Exercise4_12,moderate
AxQM.hadamardGate_op_eq_expPiDivTwo_smul_hadamardABCGate,Exercise4_12,moderate
AxQM.hadamardOnLeft_flattenFin4,Exercise4_16,moderate
AxQM.hadamardOnRight_flattenFin4,Exercise4_16,moderate
AxQM.hamSimCircuitConj_evolvePure_tmul_zero,Exercise6_7,moderate
AxQM.hamSimCircuit_evolvePure_tmul_zero,Exercise6_7,moderate
AxQM.holevoMeasurementChannel_apply_tmul,Exercise12_2,moderate
AxQM.informationGain_implies_disturbance,Proposition12_18,moderate
AxQM.ionTrapCnotCircuit_eq_pauliZ_control_comp_cnot,Exercise7_32,moderate
AxQM.isPure_reducedLeft_toState_tmul,Exercise2_74,moderate
AxQM.ixxObservable_hasEigenstate_one_phaseFlipCodewordState,Exercise10_46,moderate
AxQM.linearOptics_exponential_lower_bound,Problem7_2,moderate
AxQM.localZParity_bornProb_eq_bitFlipMeasurement,Exercise12_32,moderate
AxQM.measureObservableCircuitZError_evolvePure_qubitBasisZero_of_eigenstate,Exercise10_70,moderate
AxQM.measureObservableCircuit_bornProb_measure_control_zero,Problem5_3,moderate
AxQM.measureObservableCircuit_bornProb_measure_control_zero_pow,Problem5_3,moderate
AxQM.measureObservableCircuit_controlMeasurement_bornProb,Exercise4_34,moderate
AxQM.measureObservableCircuit_controlMeasurement_postMeasurement_one,Exercise4_34,moderate
AxQM.measureObservableCircuit_controlMeasurement_postMeasurement_zero,Exercise4_34,moderate
AxQM.measureObservableCircuit_op_qubitBasisZero_tmul,Exercise10_58,moderate
AxQM.measureObservableCircuit_op_qubitBasisZero_tmul_signMeasurement,Exercise5_9,moderate
AxQM.measureObservableCircuit_pauliXGate_evolvePure_ketZero_qubitMinus,Exercise10_58,moderate
AxQM.measureObservableCircuit_pauliXGate_evolvePure_ketZero_qubitPlus,Exercise10_58,moderate
AxQM.measureObservableCircuit_pauliZGate_evolvePure_ketZero_qubitBasisOne,Exercise10_58,moderate
AxQM.measureObservableCircuit_pauliZGate_evolvePure_ketZero_qubitBasisZero,Exercise10_58,moderate
AxQM.measureObservableCircuit_sxCorrectionGate_ketZero_eigenstateMinus,Exercise10_71,moderate
AxQM.measureObservableCircuit_sxCorrectionGate_ketZero_eigenstatePlus,Exercise10_71,moderate
AxQM.measurementModel_bornProb_eq_trace,Exercise8_9,moderate
AxQM.measurementModel_reducedLeft_postMeasurement_op,Exercise8_9,moderate
AxQM.modFourAdderCircuit_evolvePure_adderKet,Exercise4_36,moderate
AxQM.nEPRVec_eq_sum_cssPhaseFamily_tmul,Exercise12_36,moderate
AxQM.nmrBellCircuit_evolvePure_toState,Exercise7_48,moderate
AxQM.nmrCnotCircuit_op_apply_phase,Exercise7_47,moderate
AxQM.pauliStringHamiltonian_xyz_propagator_eq_conj,Exercise4_51,moderate
AxQM.phaseFlipCodeProj_eq_projPlus_comp,Exercise10_46,moderate
AxQM.qftEvolution_evolvePure_quditBasis_zero,Exercise5_2,moderate
AxQM.qftEvolution_evolvePure_quditBasis_zero_two_pow,Exercise5_2,moderate
AxQM.qubitBasis_one_blochVector,Exercise4_1,moderate
AxQM.qubitKet0_blochVector,Exercise4_1,moderate
AxQM.qubitMinusI_blochVector,Exercise4_1,moderate
AxQM.qubitMinus_blochVector,Exercise4_1,moderate
AxQM.qubitPlusI_blochVector,Exercise4_1,moderate
AxQM.qubitPlus_blochVector,Exercise4_1,moderate
AxQM.quditBasis_eq_sum_qftInverseFourierImage,Exercise5_21,moderate
AxQM.resetMeasurement_can_decrease_entropy,Exercise11_15,moderate
AxQM.rotZGate_onLeft_comm_cnotGate,Exercise4_31,moderate
AxQM.rzThreeFifthsCircuit_success_eq_rotZ,Exercise4_41,moderate
AxQM.schumacherBlock_overlap,Exercise12_6,moderate
AxQM.searchSimulationStep_op,Exercise6_9,moderate
AxQM.shorLogicalXBar_evolvePure_shorCodeword,Exercise10_48,moderate
AxQM.shorLogicalXBar_op_anticomm_shorLogicalZBar_op,Exercise10_48,moderate
AxQM.shorLogicalXBar_op_comm_shorPhaseSyndromeX123456,Exercise10_48,moderate
AxQM.shorLogicalXBar_op_comm_shorPhaseSyndromeX456789,Exercise10_48,moderate
AxQM.shorLogicalZBar_hasEigenstate_shorCodeword,Exercise10_48,moderate
AxQM.shorLogicalZBar_op_comm_shorZ12,Exercise10_48,moderate
AxQM.shorLogicalZBar_op_comm_shorZ23,Exercise10_48,moderate
AxQM.shorLogicalZBar_op_comm_shorZ45,Exercise10_48,moderate
AxQM.shorLogicalZBar_op_comm_shorZ56,Exercise10_48,moderate
AxQM.shorLogicalZBar_op_comm_shorZ78,Exercise10_48,moderate
AxQM.shorLogicalZBar_op_comm_shorZ89,Exercise10_48,moderate
AxQM.shorPhaseSyndromeX123456_hasEigenstate_shorCatProduct,Exercise10_5,moderate
AxQM.shorPhaseSyndromeX456789_hasEigenstate_shorCatProduct,Exercise10_5,moderate
AxQM.shorSyndromeCircuit_measures,Exercise10_60,moderate
AxQM.sixStateState_hasEigenstate,Exercise12_29,moderate
AxQM.sixState_bornProb_matchedBasis,Exercise12_29,moderate
AxQM.steaneEncodedHadamard_action,Exercise10_63,moderate
AxQM.steaneStabilizer_hasEigenstate_one_logicalOne,Exercise10_32,moderate
AxQM.steaneStabilizer_hasEigenstate_one_logicalZero,Exercise10_32,moderate
AxQM.steaneStandardLogicalXBar_evolvePure_logicalOne,Exercise10_55,moderate
AxQM.steaneStandardLogicalXBar_evolvePure_logicalZero,Exercise10_55,moderate
AxQM.steaneZeroStabilizer_hasEigenstate_one_logicalZero,Exercise10_73_FTencodedState,moderate
AxQM.swapViaCnots_evolvePure_ketZero,Exercise10_65,moderate
AxQM.toffoliAncilla_vec,Exercise10_72_ToffoliAncilla,moderate
AxQM.toffoliGate_comp_pauliXGate_control_propagates,Exercise10_67,moderate
AxQM.toffoliGate_comp_pauliZGate_target_propagates,Exercise10_67,moderate
AxQM.traceOfPow_genDepolarizingChannel_le,Exercise8_18,moderate
AxQM.twoLevelUnitaryCircuit_evolvePure_active_ketOne,Exercise4_39,moderate
AxQM.twoLevelUnitaryCircuit_evolvePure_active_ketZero,Exercise4_39,moderate
AxQM.twoLevelUnitaryCircuit_evolvePure_inactive,Exercise4_39,moderate
AxQM.twoSpin_state_eq_of_expectation_nineExperiments,Exercise7_45,moderate
AxQM.vonNeumannEntropy_entropyComparisonState,Exercise11_12,moderate
AxQM.vonNeumannEntropy_entropyComparisonState_le,Exercise11_12,moderate
AxQM.vonNeumannEntropy_entropyComparisonState_lt,Exercise11_12,moderate
AxQM.vonNeumannEntropy_entropyExampleMixedState,Exercise11_11,moderate
AxQM.vonNeumannEntropy_entropyExamplePlusState,Exercise11_11,moderate
AxQM.vonNeumannEntropy_entropyExampleZeroState,Exercise11_11,moderate
AxQM.xixObservable_hasEigenstate_one_phaseFlipCodewordState,Exercise10_46,moderate
AxQM.xxIObservable_hasEigenstate_one_phaseFlipCodewordState,Exercise10_46,moderate
ContinuousLinearMap.exists_krausSumₗ_eq_fin_finrank,Exercise8_11,moderate
ContinuousLinearMap.exists_krausSumₗ_eq_fin_finrank_sq,Theorem8_3,moderate
ContinuousLinearMap.isGreatest_norm_trace_mul_unitary,Lemma9_5,moderate
ContinuousLinearMap.krausSumₗ_eq_iff_exists_mem_unitaryGroup,Theorem8_2,moderate
ContinuousLinearMap.quantumRelativeEntropy_smul_smul_of_hasSupportLE,Problem11_2,moderate
Finset.card_powersetCard_filter_inter_lt_and_lt_div_choose_le_two_pow,Exercise12_27,moderate
GaloisField.exists_linear_isCycle_perm_transvecCount,Problem7_1,moderate
LinearCode.exists_correctsErrors_of_rate_le,Exercise10_23_GilbertVarshamov,moderate
LinearCode.exists_nestedPair_correctsErrors_of_rate_le,Problem10_2_GilbertVarshamov,moderate
LinearIsometryEquiv.exists_conjStarAlgEquiv_oneDesign,Exercise11_19,moderate
LinearMap.exists_unitary_proj_krausComplement,Exercise8_8,moderate
Matrix.hammingCode_correctsErrors_one,Exercise10_22,moderate
Matrix.hammingCode_minDist,Exercise10_22,moderate
Matrix.minDist_ker_eq_of_columns,Exercise10_20,moderate
NormedSpace.isBigO_exp_smul_add_sub_exp_half_smul_mul_exp_smul_mul_exp_half_smul,Exercise4_49,moderate
NormedSpace.isBigO_exp_smul_add_sub_exp_smul_mul_exp_smul,Exercise4_49,moderate
