from_task,to_task
AxQM.State.holevoChi_reducedLeft_le,AxQM.State.vonNeumannMutualInfo_le_of_discard'
AxQM.State.isGreatest_norm_overlap_purification_fixed,AxQM.PureState.exists_evolution_tmul_id_evolvePure_eq
AxQM.State.isGreatest_norm_overlap_purification_fixed,AxQM.State.isGreatest_norm_overlap_purification
AxQM.State.loccConvertible_iff_majorize,AxQM.State.LOCCConvertible_of_majorize
AxQM.State.loccConvertible_iff_majorize,ContinuousLinearMap.exists_unitary_isPositive_polar
AxQM.State.loccConvertible_iff_majorize,convex_setOf_majorize
AxQM.State.maximallyMixedState_unique_maxEntropy,LinearIsometryEquiv.exists_conjStarAlgEquiv_oneDesign
AxQM.State.mutualInfo_qubit_tensorPow_le,AxQM.State.vonNeumannEntropy_le_log_finrank
AxQM.State.mutualInfo_qubit_tensorPow_le,AxQM.State.vonNeumannEntropy_nonneg
AxQM.State.mutualInfo_qubit_tensorPow_le,AxQM.holevoBound_of_chi_monotone
AxQM.State.quantumRelativeEntropy_jointly_convex_of_hasSupportLE,AxQM.State.quantumRelativeEntropy_jointly_convex_sum_of_hasSupportLE
AxQM.State.reliablyCompressible_iff_vonNeumannEntropy_lt,Real.exists_le_sum_typicalSeq
AxQM.State.smallSubspace_bornProb_le,Real.exists_le_sum_typicalSeq
AxQM.State.sum_mul_fidelity_le_fidelity_mix,AxQM.State.sum_sqrt_mul_fidelity_le_fidelity_mix
AxQM.State.traceDistance_mix_left_convex,AxQM.State.traceDistance_mix_le
AxQM.State.traceDistance_mix_right_convex,AxQM.State.traceDistance_mix_left_convex
AxQM.State.typicalSubspaceDim_bounds,Real.exists_card_typicalSeq_bounds
AxQM.State.typicalSubspace_bornProb_ge,Real.exists_le_sum_typicalSeq
AxQM.State.vonNeumannEntropy_concave,AxQM.State.entropyMixLine_deriv2_nonpos_of_isStrictlyPositive
AxQM.State.vonNeumannEntropy_cond_subadditive_first,AxQM.State.vonNeumannEntropy_add_le_add'
AxQM.State.vonNeumannEntropy_cond_subadditive_second,AxQM.State.vonNeumannEntropy_add_le_add'
AxQM.State.vonNeumannEntropy_cond_subadditive_second,AxQM.State.vonNeumannEntropy_weakMonotonicity
AxQM.State.vonNeumannEntropy_dilatedChannel_le_dilatedChannelComp_add_entropyExchange,AxQM.State.vonNeumannEntropy_le_dilatedChannel_add_entropyExchange
AxQM.State.vonNeumannEntropy_eq_log_finrank_iff_eq_maximallyMixed,Real.entropy_eq_log_card_iff
AxQM.State.vonNeumannEntropy_jointEntropyTheorem,AxQM.State.vonNeumannEntropy_mix_orthogonalSupport
AxQM.State.vonNeumannEntropy_jointEntropyTheorem,AxQM.State.vonNeumannEntropy_tmul
AxQM.State.vonNeumannEntropy_joint_cond_subadditive,AxQM.State.vonNeumannEntropy_add_le_add'
AxQM.State.vonNeumannEntropy_le_crossEnvEntropy_add_entropyExchange_dilatedChannel,AxQM.PureState.isProduct_iff_isPure_reducedRight
AxQM.State.vonNeumannEntropy_le_crossEnvEntropy_add_entropyExchange_dilatedChannel,AxQM.PureState.vonNeumannEntropy_reducedLeft_eq_reducedRight
AxQM.State.vonNeumannEntropy_le_crossEnvEntropy_add_entropyExchange_dilatedChannel,AxQM.State.quantumRelativeEntropy_eq_zero_iff_of_hasSupportLE
AxQM.State.vonNeumannEntropy_le_crossEnvEntropy_add_entropyExchange_dilatedChannel,AxQM.State.quantumRelativeEntropy_nonneg_of_hasSupportLE
AxQM.State.vonNeumannEntropy_le_crossEnvEntropy_add_entropyExchange_dilatedChannel,AxQM.State.vonNeumannEntropy_add_le_add'
AxQM.State.vonNeumannEntropy_le_crossEnvEntropy_add_entropyExchange_dilatedChannel,AxQM.State.vonNeumannEntropy_nonneg
AxQM.State.vonNeumannEntropy_le_crossEnvEntropy_add_entropyExchange_dilatedChannel,AxQM.State.vonNeumannEntropy_tmul
AxQM.State.vonNeumannEntropy_le_crossEnvEntropy_add_entropyExchange_dilatedChannel,AxQM.toState_evolvePure
AxQM.State.vonNeumannEntropy_le_dilatedChannelComp_add_entropyExchangeComp,AxQM.PureState.isProduct_iff_isPure_reducedRight
AxQM.State.vonNeumannEntropy_le_dilatedChannelComp_add_entropyExchangeComp,AxQM.PureState.vonNeumannEntropy_reducedLeft_eq_reducedRight
AxQM.State.vonNeumannEntropy_le_dilatedChannelComp_add_entropyExchangeComp,AxQM.State.quantumRelativeEntropy_eq_zero_iff_of_hasSupportLE
AxQM.State.vonNeumannEntropy_le_dilatedChannelComp_add_entropyExchangeComp,AxQM.State.quantumRelativeEntropy_nonneg_of_hasSupportLE
AxQM.State.vonNeumannEntropy_le_dilatedChannelComp_add_entropyExchangeComp,AxQM.State.vonNeumannEntropy_add_le_add'
AxQM.State.vonNeumannEntropy_le_dilatedChannelComp_add_entropyExchangeComp,AxQM.State.vonNeumannEntropy_nonneg
AxQM.State.vonNeumannEntropy_le_dilatedChannelComp_add_entropyExchangeComp,AxQM.State.vonNeumannEntropy_tmul
AxQM.State.vonNeumannEntropy_le_dilatedChannel_add_entropyExchange,AxQM.PureState.isProduct_iff_isPure_reducedRight
AxQM.State.vonNeumannEntropy_le_dilatedChannel_add_entropyExchange,AxQM.PureState.vonNeumannEntropy_reducedLeft_eq_reducedRight
AxQM.State.vonNeumannEntropy_le_dilatedChannel_add_entropyExchange,AxQM.State.quantumRelativeEntropy_eq_zero_iff_of_hasSupportLE
AxQM.State.vonNeumannEntropy_le_dilatedChannel_add_entropyExchange,AxQM.State.quantumRelativeEntropy_nonneg_of_hasSupportLE
AxQM.State.vonNeumannEntropy_le_dilatedChannel_add_entropyExchange,AxQM.State.vonNeumannEntropy_add_le_add'
AxQM.State.vonNeumannEntropy_le_dilatedChannel_add_entropyExchange,AxQM.State.vonNeumannEntropy_nonneg
AxQM.State.vonNeumannEntropy_le_dilatedChannel_add_entropyExchange,AxQM.State.vonNeumannEntropy_tmul
AxQM.State.vonNeumannEntropy_mix_eq_iff_orthogonal,AxQM.Ensemble.purify_reducedLeft
AxQM.State.vonNeumannEntropy_mix_eq_iff_orthogonal,AxQM.PureState.vonNeumannEntropy_reducedLeft_eq_reducedRight
AxQM.State.vonNeumannEntropy_mix_eq_iff_orthogonal,AxQM.State.vonNeumannEntropy_mix_orthogonalSupport
AxQM.State.vonNeumannEntropy_mix_eq_reducedRight_sub_reducedLeft_iff,AxQM.PureState.vonNeumannEntropy_reducedLeft_eq_reducedRight
AxQM.State.vonNeumannEntropy_mix_eq_reducedRight_sub_reducedLeft_iff,AxQM.State.quantumRelativeEntropy_eq_zero_iff_of_hasSupportLE
AxQM.State.vonNeumannEntropy_mix_eq_reducedRight_sub_reducedLeft_iff,AxQM.State.quantumRelativeEntropy_nonneg_of_hasSupportLE
AxQM.State.vonNeumannEntropy_mix_eq_reducedRight_sub_reducedLeft_iff,AxQM.State.vonNeumannEntropy_mix_eq_iff_orthogonal
AxQM.State.vonNeumannEntropy_mix_eq_reducedRight_sub_reducedLeft_iff,AxQM.State.vonNeumannEntropy_mix_le'
AxQM.State.vonNeumannEntropy_mix_eq_reducedRight_sub_reducedLeft_iff,AxQM.State.vonNeumannEntropy_mix_orthogonalSupport
AxQM.State.vonNeumannEntropy_mix_eq_sum_iff_forall_eq,AxQM.State.quantumRelativeEntropy_eq_zero_iff_of_hasSupportLE
AxQM.State.vonNeumannEntropy_mix_eq_sum_iff_forall_eq,AxQM.State.quantumRelativeEntropy_nonneg_of_hasSupportLE
AxQM.State.vonNeumannEntropy_mix_le',AxQM.State.abs_vonNeumannEntropy_sub_le_fannes
AxQM.State.vonNeumannEntropy_mix_le',AxQM.State.traceDistance_mix_le
AxQM.State.vonNeumannEntropy_sub_dilatedChannel_add_entropyExchange_eq_zero_of_perfectCorrection,AxQM.State.coherentInfoComp_le_coherentInfo
AxQM.State.vonNeumannEntropy_sub_dilatedChannel_add_entropyExchange_eq_zero_of_perfectCorrection,AxQM.State.entropyExchange_dilatedChannel_le_entropyExchange_add_entropyExchangeComp
AxQM.State.vonNeumannEntropy_sub_dilatedChannel_add_entropyExchange_eq_zero_of_perfectCorrection,AxQM.State.vonNeumannEntropy_le_dilatedChannel_add_entropyExchange
AxQM.State.vonNeumannEntropy_weakMonotonicity,AxQM.PureState.vonNeumannEntropy_reducedLeft_eq_reducedRight
AxQM.State.vonNeumannEntropy_weakMonotonicity,AxQM.State.vonNeumannEntropy_add_le_add'
AxQM.State.vonNeumannMutualInfo_add_le_two_mul_vonNeumannEntropy,AxQM.State.vonNeumannEntropy_weakMonotonicity
AxQM.State.vonNeumannMutualInfo_dilatedChannelOnRight_le,AxQM.State.vonNeumannEntropy_tmul
AxQM.State.vonNeumannMutualInfo_dilatedChannelOnRight_le,AxQM.State.vonNeumannMutualInfo_le_of_discard'
AxQM.State.vonNeumannMutualInfo_le_of_discard',AxQM.State.vonNeumannEntropy_add_le_add'
AxQM.alternativeSearchHamiltonian_simulation_gateError_pow_le,AxQM.Observable.symmTrotterStep_gateError_pow_le
AxQM.amplitudeDampingChannel_isLeast_fidelity,AxQM.State.exists_blochState
AxQM.amplitudeDampingChannel_isLeast_fidelity,AxQM.blochState_isPure_iff_norm_one
AxQM.amplitudeDampingChannel_isLeast_fidelity,AxQM.qubitBasis_one_blochVector
AxQM.arakiLiebEqualityState_not_isPure,AxQM.State.vonNeumannEntropy_tmul
AxQM.arakiLiebEqualityState_vonNeumannEntropy_eq_reducedRight_sub_reducedLeft,AxQM.State.vonNeumannEntropy_tmul
AxQM.b92_perfectly_correlated,AxQM.qubitKet0_hasEigenstate_pauliZ
AxQM.b92_perfectly_correlated,AxQM.qubitPlus_hasEigenstate_pauliX
AxQM.bb84_bornProb_matchedBasis,AxQM.Observable.projMinus_apply_eq_self
AxQM.bb84_bornProb_matchedBasis,AxQM.qubitBasis_one_hasEigenstate_pauliZ
AxQM.bb84_bornProb_matchedBasis,AxQM.qubitKet0_hasEigenstate_pauliZ
AxQM.bb84_bornProb_matchedBasis,AxQM.qubitMinus_hasEigenstate_pauliX
AxQM.bb84_bornProb_matchedBasis,AxQM.qubitPlus_hasEigenstate_pauliX
AxQM.bb84_bornProb_mismatchedBasis,AxQM.qubitBasis_one_hasEigenstate_pauliZ
AxQM.bb84_bornProb_mismatchedBasis,AxQM.qubitKet0_hasEigenstate_pauliZ
AxQM.bb84_bornProb_mismatchedBasis,AxQM.qubitMinus_hasEigenstate_pauliX
AxQM.bb84_bornProb_mismatchedBasis,AxQM.qubitPlus_hasEigenstate_pauliX
AxQM.bb84_bornProb_mismatchedBasis_uncorrelated,AxQM.bb84_bornProb_mismatchedBasis
AxQM.bb84_distinguisher_compromises_security,AxQM.StateDistinguisher.intercept_signal
AxQM.bellMeasurement_op_eq_bellMeasurementCircuit_conj,AxQM.bellBasis_apply
AxQM.bellMeasurement_toPOVM_elements_eq_bellProjector,AxQM.bellBasis_apply
AxQM.bitFlipChannel_eq_measurementModel,AxQM.Concrete.rotX_eq
AxQM.bitFlipChannel_isFixedPt_blochState_iff,AxQM.rotAxisGate_evolve_blochState
AxQM.bitFlipChannel_traceDistance_le,AxQM.traceDistance_channel_le
AxQM.blochState_isPure_iff_norm_one,AxQM.State.purity_eq_one_iff_isPure
AxQM.bornProb_eq_trace_generalMeasurementEnvOp,AxQM.Measurement.bornProb_eq_trace_opElement
AxQM.bornProb_qtowerControlMeasurement_qftCircuit_nearestBin_prime_ge,AxQM.periodShift_hasEigenstate_qftInverseFourierImage
AxQM.catalysisState_not_loccConvertible,AxQM.State.loccConvertible_iff_majorize
AxQM.catalysisState_tmul_loccConvertible,AxQM.State.loccConvertible_iff_majorize
AxQM.ccontrolledUnitary_gateCount_le,AxQM.Concrete.exists_abc_decomposition
AxQM.channelHolevoChi_eq_productStateCapacity,AxQM.State.quantumRelativeEntropy_nonneg_of_hasSupportLE
AxQM.channelHolevoChi_eq_productStateCapacity,AxQM.State.vonNeumannEntropy_le_log_finrank
AxQM.channelHolevoChi_eq_productStateCapacity,AxQM.State.vonNeumannEntropy_nonneg
AxQM.channelHolevoChi_eq_productStateCapacity,AxQM.holevoBound_of_chi_monotone
AxQM.channelHolevoChi_eq_sSup_pureEnsemble,AxQM.State.quantumRelativeEntropy_nonneg_of_hasSupportLE
AxQM.channelHolevoChi_eq_sSup_pureEnsemble,AxQM.State.vonNeumannEntropy_le_log_finrank
AxQM.channelHolevoChi_eq_sSup_pureEnsemble,AxQM.State.vonNeumannEntropy_nonneg
AxQM.channelHolevoChi_eq_sSup_pureLeCardEnsemble,AxQM.State.quantumRelativeEntropy_nonneg_of_hasSupportLE
AxQM.channelHolevoChi_eq_sSup_pureLeCardEnsemble,AxQM.State.vonNeumannEntropy_le_log_finrank
AxQM.channelHolevoChi_eq_sSup_pureLeCardEnsemble,AxQM.State.vonNeumannEntropy_nonneg
AxQM.classicalCorr_arakiLieb_condition_not_sufficient,AxQM.State.vonNeumannEntropy_mix_orthogonalSupport
AxQM.cnotGate_eq_hadamard_conj_controlledZGate,AxQM.Concrete.hadamardC_mul_pauliZ_mul_hadamardC
AxQM.cnotGate_eq_hadamard_conj_controlledZGate,AxQM.hadamardGate_sq
AxQM.cnotGate_eq_singleQubit_conj_opticalKerrGate,AxQM.cnotGate_eq_hadamard_conj_controlledZGate
AxQM.cnotGate_hadamardConj_evolvePure_qubitBasis,AxQM.cnotGate_evolvePure_qubitMinus_qubitMinus
AxQM.cnotGate_hadamardConj_evolvePure_qubitBasis,AxQM.cnotGate_evolvePure_qubitMinus_qubitPlus
AxQM.cnotGate_hadamardConj_evolvePure_qubitBasis,AxQM.cnotGate_evolvePure_qubitPlus_qubitMinus
AxQM.cnotGate_hadamardConj_evolvePure_qubitBasis,AxQM.cnotGate_evolvePure_qubitPlus_qubitPlus
AxQM.cnotGate_hadamardConj_evolvePure_qubitBasis,AxQM.hadamardGate_sq
AxQM.controlledUnitary_rotXGate,AxQM.Concrete.rotX_eq
AxQM.controlledUnitary_rotXGate,AxQM.hadamardGate_sq
AxQM.controlledZGate_swap_symm,AxQM.Concrete.pauliZ_eq_outerSelf_sub
AxQM.corrects_conjugate,AxQM.corrects_of_channelEquiv
AxQM.cssCode_same_correction,AxQM.corrects_of_channelEquiv
AxQM.cssCode_same_correction,AxQM.toState_evolvePure
AxQM.cssTwistedCode_same_correction,AxQM.corrects_of_channelEquiv
AxQM.cssTwistedCode_same_correction,AxQM.toState_evolvePure
AxQM.deutschOracleConstOne_bornProb,AxQM.deutschOracleConstOne_isDeutschOracle
AxQM.deutschOracleConstZero_bornProb,AxQM.deutschOracleConstZero_isDeutschOracle
AxQM.deutschOracleIdentity_bornProb,AxQM.deutschOracleIdentity_isDeutschOracle
AxQM.deutschOracleIdentity_eq_kerrGate_conj_hadamard,AxQM.cnotGate_eq_hadamard_conj_controlledZGate
AxQM.deutschOracleNegation_bornProb,AxQM.deutschOracleNegation_isDeutschOracle
AxQM.deutschOracleNegation_eq_kerrGate_conj_hadamard_mirror,AxQM.cnotGate_eq_hadamard_conj_controlledZGate
AxQM.dlogFourierDoubleSum_eq_smul_dlogFourierState,AxQM.dlogFourierDoubleSum_eq_zero_of_not_modEq
AxQM.dlogFourierDoubleSum_eq_smul_dlogFourierState,AxQM.dlogFourierDoubleSum_of_modEq
AxQM.dottedBoxCircuit_evolve_eq_conditionalPhaseShift,AxQM.cnotGate_eq_hadamard_conj_controlledZGate
AxQM.ensembleAvgFidelity_eq_one_iff,AxQM.State.isGreatest_norm_overlap_purification
AxQM.eprMeasureFirstX_postMeasurement_one,AxQM.Observable.postMeasurement_signMeasurement_minus
AxQM.eprMeasureFirstX_postMeasurement_one,AxQM.qubitMinus_hasEigenstate_pauliX
AxQM.eprMeasureFirstX_postMeasurement_one,AxQM.qubitPlus_hasEigenstate_pauliX
AxQM.eprMeasureFirstX_postMeasurement_zero,AxQM.qubitMinus_hasEigenstate_pauliX
AxQM.eprMeasureFirstX_postMeasurement_zero,AxQM.qubitPlus_hasEigenstate_pauliX
AxQM.eprMeasureFirstZ_postMeasurement_one,AxQM.Observable.postMeasurement_signMeasurement_minus
AxQM.eprMeasureFirstZ_postMeasurement_one,AxQM.qubitBasis_one_hasEigenstate_pauliZ
AxQM.eprMeasureFirstZ_postMeasurement_zero,AxQM.qubitBasis_one_hasEigenstate_pauliZ
AxQM.exists_condEntropyPairGivenC_lt,AxQM.State.vonNeumannEntropy_tmul
AxQM.exists_condEntropyPairGivenC_lt,AxQM.bellState_reducedLeft
AxQM.exists_correction_of_decoupledLeftFactor,AxQM.satisfiesQECConditions_iff_exists_correction
AxQM.exists_gateCircuit_twoLevelUnitaryCircuit,AxQM.ccontrolledUnitary_gateCount_le
AxQM.exists_gateCircuit_twoLevelUnitaryCircuit,AxQM.cnotGate_hadamardConj_evolvePure_qubitBasis
AxQM.exists_phase_smul_toEuclideanCLM_mem_closure_dataRegisterOp_deutschReachableEvolutions,AxQM.Concrete.exists_abc_decomposition
AxQM.exists_phase_smul_toEuclideanCLM_mem_closure_dataRegisterOp_deutschReachableEvolutions,AxQM.Concrete.exists_smul_rotAxis_triple_of_perp
AxQM.exists_phase_smul_toEuclideanCLM_mem_closure_dataRegisterOp_deutschReachableEvolutions,AxQM.Concrete.rotX_eq
AxQM.exists_reliable_ensembleCompression,AxQM.State.isGreatest_norm_overlap_purification
AxQM.exists_reliable_ensembleCompression,AxQM.State.typicalSubspaceDim_bounds
AxQM.exists_reliable_ensembleCompression,AxQM.State.typicalSubspace_bornProb_ge
AxQM.exists_twoQubitCircuit_eq_fredkinGate_six,AxQM.fredkinGate_eq_cnot_comp_middleToffoli_comp_cnot
AxQM.exists_vonNeumannMutualInfo_gt_reducedLeft_vonNeumannEntropy,AxQM.bellState_reducedLeft
AxQM.exists_vonNeumannMutualInfo_gt_reducedLeft_vonNeumannEntropy,AxQM.bellState_reducedRight
AxQM.fiveEncodedZeroPrep_measures,AxQM.measureObservableCircuit_op_qubitBasisZero_tmul
AxQM.fiveEncodedZeroPrep_stabilized_zero,AxQM.measureObservableCircuit_op_qubitBasisZero_tmul
AxQM.fiveEncodedZero_exists,AxQM.Concrete.stabilizedSubspace_finrank
AxQM.fiveEncodedZero_unique,AxQM.Concrete.stabilizedSubspace_finrank
AxQM.fiveSyndromeCircuit_measures,AxQM.measureObservableCircuit_op_qubitBasisZero_tmul
AxQM.hadamardGate_evolve_eq_hadamardABCGate_evolve,AxQM.hadamardGate_op_eq_expPiDivTwo_smul_hadamardABCGate
AxQM.hadamardGate_evolve_eq_rotXGate_rotZGate_rotXGate_evolve,AxQM.hadamardGate_op_eq_expPiDivTwo_smul_rotXGate_rotZGate_rotXGate
AxQM.hadamardGate_op_eq_expPiDivTwo_smul_hadamardABCGate,AxQM.Concrete.rotX_eq
AxQM.hadamardGate_op_eq_expPiDivTwo_smul_rotXGate_rotZGate_rotXGate,AxQM.Concrete.rotX_eq
AxQM.hamSimCircuitConj_evolvePure_tmul_zero,AxQM.hamSimCircuit_evolvePure_tmul_zero
AxQM.holevoBound_of_chi_monotone,AxQM.State.holevoChi_dilatedChannel_le
AxQM.holevoBound_of_chi_monotone,AxQM.State.holevoChi_measState_eq_mutualInfo
AxQM.holevoBound_of_chi_monotone,AxQM.State.holevoChi_reducedLeft_le
AxQM.holevoBound_of_chi_monotone,AxQM.State.vonNeumannEntropy_tmul
AxQM.holevoBound_of_chi_monotone,AxQM.holevoMeasurementChannel_apply_tmul
AxQM.holevoBound_of_chi_monotone,AxQM.measurementModelEvolution_op_tmul
AxQM.holevoChi_lt_holevoChi_clone,AxQM.Ensemble.purify_reducedLeft
AxQM.holevoChi_lt_holevoChi_clone,AxQM.Observable.op_mul_projMinus
AxQM.holevoChi_lt_holevoChi_clone,AxQM.Observable.op_mul_projPlus
AxQM.holevoChi_lt_holevoChi_clone,AxQM.PureState.vonNeumannEntropy_reducedLeft_eq_reducedRight
AxQM.holevoMeasurementChannel_apply_tmul,AxQM.toState_evolvePure
AxQM.holevo_bound,AxQM.holevoBound_of_chi_monotone
AxQM.hsCnotToffoli_measurement_universal,AxQM.Concrete.exists_abc_decomposition
AxQM.hsCnotToffoli_measurement_universal,AxQM.Concrete.exists_zy_decomposition
AxQM.hsCnotToffoli_measurement_universal,AxQM.Concrete.hadamardC_mul_pauliZ_mul_hadamardC
AxQM.hsCnotToffoli_measurement_universal,AxQM.Concrete.rotX_eq
AxQM.hsCnotToffoli_measurement_universal,AxQM.rzThreeFifthsAngle_cos
AxQM.hsCnotToffoli_measurement_universal,AxQM.rzThreeFifthsCircuit_success_eq_rotZ
AxQM.hsCnotToffoli_measurement_universal,irrational_div_two_pi_of_cos_eq_three_div_five
AxQM.isQuantumOperation_iff_isOperatorSum,ContinuousLinearMap.satisfiesOperationAxioms_iff_isOperatorSum
AxQM.isRandomUnitary_of_isChannel_isUnital,AxQM.State.exists_blochState
AxQM.isRandomUnitary_of_isChannel_isUnital,AxQM.rotAxisGate_evolve_blochState
AxQM.isRandomUnitary_of_isChannel_isUnital,ContinuousLinearMap.satisfiesOperationAxioms_iff_isOperatorSum
AxQM.isRandomUnitary_of_isChannel_isUnital,Matrix.exists_unitary_mul_diagonal_mul_unitary
AxQM.ixxObservable_hasEigenstate_one_phaseFlipCodewordState,AxQM.Concrete.pauliX_mulVec_xMinus
AxQM.ixxObservable_hasEigenstate_one_phaseFlipCodewordState,AxQM.Concrete.pauliX_mulVec_xPlus
AxQM.linearOptics_deutschJozsa,AxQM.linearOptics_universal
AxQM.linearOptics_exponential_lower_bound,AxQM.Concrete.exists_unitary_two_level_decomposition_length_ge
AxQM.linearOptics_twoQubitSearch,AxQM.linearOptics_universal
AxQM.linearOptics_universal,AxQM.Concrete.exists_zy_decomposition
AxQM.localXParity_bornProb_eq_phaseFlipMeasurement,AxQM.bellMeasurement_toPOVM_elements_eq_bellProjector
AxQM.localZParity_bornProb_eq_bitFlipMeasurement,AxQM.bellMeasurement_toPOVM_elements_eq_bellProjector
AxQM.machZehnder_evolvePure_dualRail_rotX,AxQM.machZehnder_evolvePure_dualRail
AxQM.measureObservableCircuitZError_evolvePure_qubitBasisZero_of_eigenstate,AxQM.Concrete.hadamardC_mul_pauliZ_mul_hadamardC
AxQM.measureObservableCircuitZError_evolvePure_qubitBasisZero_of_eigenstate,AxQM.measureObservableCircuit_op_qubitBasisZero_tmul
AxQM.measureObservableCircuitZError_sxCorrectionGate_eigenstatePlus,AxQM.measureObservableCircuitZError_evolvePure_qubitBasisZero_of_eigenstate
AxQM.measureObservableCircuit_bornProb_measure_control_zero,AxQM.measureObservableCircuit_op_qubitBasisZero_tmul
AxQM.measureObservableCircuit_bornProb_measure_control_zero_pow,AxQM.measureObservableCircuit_bornProb_measure_control_zero
AxQM.measureObservableCircuit_controlMeasurement_bornProb,AxQM.measureObservableCircuit_op_qubitBasisZero_tmul_signMeasurement
AxQM.measureObservableCircuit_controlMeasurement_postMeasurement_one,AxQM.measureObservableCircuit_op_qubitBasisZero_tmul
AxQM.measureObservableCircuit_controlMeasurement_postMeasurement_zero,AxQM.measureObservableCircuit_op_qubitBasisZero_tmul
AxQM.measureObservableCircuit_op_qubitBasisZero_tmul_signMeasurement,AxQM.measureObservableCircuit_op_qubitBasisZero_tmul
AxQM.measureObservableCircuit_pauliXGate_eq_hadamardConjReversedCnot,AxQM.Concrete.hadamardC_mul_pauliZ_mul_hadamardC
AxQM.measureObservableCircuit_pauliXGate_eq_hadamardConjReversedCnot,AxQM.Concrete.pauliZ_eq_outerSelf_sub
AxQM.measureObservableCircuit_pauliXGate_eq_hadamardConjReversedCnot,AxQM.cnotGate_eq_hadamard_conj_controlledZGate
AxQM.measureObservableCircuit_pauliXGate_evolvePure_ketZero_qubitMinus,AxQM.Concrete.pauliX_mulVec_xMinus
AxQM.measureObservableCircuit_pauliXGate_evolvePure_ketZero_qubitMinus,AxQM.measureObservableCircuit_op_qubitBasisZero_tmul
AxQM.measureObservableCircuit_pauliXGate_evolvePure_ketZero_qubitPlus,AxQM.Concrete.pauliX_mulVec_xPlus
AxQM.measureObservableCircuit_pauliXGate_evolvePure_ketZero_qubitPlus,AxQM.measureObservableCircuit_op_qubitBasisZero_tmul
AxQM.measureObservableCircuit_pauliZGate_eq_reversedCnotGate,AxQM.Concrete.hadamardC_mul_pauliZ_mul_hadamardC
AxQM.measureObservableCircuit_pauliZGate_eq_reversedCnotGate,AxQM.Concrete.pauliZ_eq_outerSelf_sub
AxQM.measureObservableCircuit_pauliZGate_evolvePure_ketZero_qubitBasisOne,AxQM.measureObservableCircuit_op_qubitBasisZero_tmul
AxQM.measureObservableCircuit_pauliZGate_evolvePure_ketZero_qubitBasisZero,AxQM.measureObservableCircuit_op_qubitBasisZero_tmul
AxQM.measureObservableCircuit_sxCorrectionGate_ketZero_eigenstateMinus,AxQM.measureObservableCircuit_op_qubitBasisZero_tmul
AxQM.measureObservableCircuit_sxCorrectionGate_ketZero_eigenstatePlus,AxQM.measureObservableCircuit_op_qubitBasisZero_tmul
AxQM.measureObservableCircuit_xTypeGenerator_eq_fig1017Block,AxQM.Concrete.hadamardC_mul_pauliZ_mul_hadamardC
AxQM.measureObservableCircuit_xTypeGenerator_eq_fig1017Block,AxQM.Concrete.pauliZ_eq_outerSelf_sub
AxQM.measureObservableCircuit_xTypeGenerator_eq_fig1017Block,AxQM.cnotGate_eq_hadamard_conj_controlledZGate
AxQM.measureObservableCircuit_zTypeGenerator_eq_fig1017Block,AxQM.Concrete.hadamardC_mul_pauliZ_mul_hadamardC
AxQM.measureObservableCircuit_zTypeGenerator_eq_fig1017Block,AxQM.Concrete.pauliZ_eq_outerSelf_sub
AxQM.measuredSwapCircuit1_corrected,AxQM.toState_evolvePure
AxQM.measuredSwapCircuit2_corrected,AxQM.toState_evolvePure
AxQM.measurementModel_bornProb_eq_trace,AxQM.bornProb_eq_trace_generalMeasurementEnvOp
AxQM.measurementModel_bornProb_eq_trace,AxQM.measurementModelEvolution_op_tmul
AxQM.measurementModel_reducedLeft_postMeasurement_op,AxQM.measurementModelEvolution_op_tmul
AxQM.measurementModel_reducedLeft_postMeasurement_op,AxQM.measurementModel_bornProb_eq_trace
AxQM.measurementResourceSetWires_realizes_of_universal,AxQM.bellBasis_apply
AxQM.measurementResourceSetWires_realizes_of_universal,AxQM.toState_evolvePure
AxQM.nmrBellCircuit_evolvePure_toState,AxQM.Concrete.rotX_eq
AxQM.nmrCnotCircuit_op_apply_phase,AxQM.Concrete.rotX_eq
AxQM.nmrCnot_globalPhase_correction_eq_cnotGate,AxQM.nmrCnotCircuit_op_apply_phase
AxQM.nmrControlledZSequence_evolve_eq_controlledZGate,AxQM.nmrControlledZ_globalPhase_eq_controlledZGate
AxQM.nmrCoupledPairFID_eq,AxQM.Concrete.pauliX_trace
AxQM.nmrCoupledPairFID_eq,AxQM.Concrete.pauliY_trace
AxQM.nmrCoupledPairFID_eq,AxQM.Observable.propagator_op_mem_unitary
AxQM.nmrGroverOracleOne_eq_globalPhaseGate_comp,AxQM.Concrete.rotX_eq
AxQM.nmrGroverOracleOne_eq_globalPhaseGate_comp,AxQM.nmrControlledZ_globalPhase_eq_controlledZGate
AxQM.nmrGroverOracleOne_evolve_eq_groverOracleOne,AxQM.nmrGroverOracleOne_eq_globalPhaseGate_comp
AxQM.nmrGroverOracleTwo_eq_globalPhaseGate_comp,AxQM.Concrete.rotX_eq
AxQM.nmrGroverOracleTwo_eq_globalPhaseGate_comp,AxQM.nmrControlledZ_globalPhase_eq_controlledZGate
AxQM.nmrGroverOracleTwo_evolve_eq_groverOracleTwo,AxQM.nmrGroverOracleTwo_eq_globalPhaseGate_comp
AxQM.nmrGroverOracleZero_eq_globalPhaseGate_comp,AxQM.Concrete.rotX_eq
